"C02173V02619","Area of Residence","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All Countries","2009","2009","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","6907"
"-","All Countries","2009","2009","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"-","All Countries","2009","2009","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3410"
"-","All Countries","2010","2010","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","6139"
"-","All Countries","2010","2010","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"-","All Countries","2010","2010","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","2976"
"-","All Countries","2011","2011","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","6505"
"-","All Countries","2011","2011","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"-","All Countries","2011","2011","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","2899"
"-","All Countries","2012","2012","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","6517"
"-","All Countries","2012","2012","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"-","All Countries","2012","2012","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","2916"
"-","All Countries","2013","2013","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","6986"
"-","All Countries","2013","2013","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"-","All Countries","2013","2013","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3262"
"-","All Countries","2014","2014","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","7604"
"-","All Countries","2014","2014","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"-","All Countries","2014","2014","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3548"
"-","All Countries","2015","2015","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","8643"
"-","All Countries","2015","2015","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"-","All Countries","2015","2015","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4208"
"-","All Countries","2016","2016","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","9584"
"-","All Countries","2016","2016","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"-","All Countries","2016","2016","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4577"
"-","All Countries","2017","2017","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","9932"
"-","All Countries","2017","2017","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"-","All Countries","2017","2017","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4874"
"-","All Countries","2018","2018","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","10616"
"-","All Countries","2018","2018","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"-","All Countries","2018","2018","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5149"
"-","All Countries","2019","2019","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","10808"
"-","All Countries","2019","2019","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"-","All Countries","2019","2019","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5101"
"DE","Germany","2009","2009","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand",""
"DE","Germany","2009","2009","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights",""
"DE","Germany","2009","2009","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"DE","Germany","2010","2010","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand",""
"DE","Germany","2010","2010","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights",""
"DE","Germany","2010","2010","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"DE","Germany","2011","2011","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","423"
"DE","Germany","2011","2011","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.3"
"DE","Germany","2011","2011","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","241"
"DE","Germany","2012","2012","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","448"
"DE","Germany","2012","2012","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"DE","Germany","2012","2012","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","227"
"DE","Germany","2013","2013","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","483"
"DE","Germany","2013","2013","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.6"
"DE","Germany","2013","2013","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","286"
"DE","Germany","2014","2014","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","557"
"DE","Germany","2014","2014","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"DE","Germany","2014","2014","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","334"
"DE","Germany","2015","2015","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","629"
"DE","Germany","2015","2015","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"DE","Germany","2015","2015","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","397"
"DE","Germany","2016","2016","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","652"
"DE","Germany","2016","2016","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"DE","Germany","2016","2016","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","388"
"DE","Germany","2017","2017","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","681"
"DE","Germany","2017","2017","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"DE","Germany","2017","2017","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","399"
"DE","Germany","2018","2018","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","818"
"DE","Germany","2018","2018","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"DE","Germany","2018","2018","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","467"
"DE","Germany","2019","2019","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","812"
"DE","Germany","2019","2019","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"DE","Germany","2019","2019","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","446"
"FR","France","2009","2009","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand",""
"FR","France","2009","2009","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights",""
"FR","France","2009","2009","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"FR","France","2010","2010","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand",""
"FR","France","2010","2010","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights",""
"FR","France","2010","2010","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"FR","France","2011","2011","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","401"
