"C02196V02652","State","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"-","State","19851","1985Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","107"
"-","State","19851","1985Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","69"
"-","State","19852","1985Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","217"
"-","State","19852","1985Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","133"
"-","State","19853","1985Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","410"
"-","State","19853","1985Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","207"
"-","State","19854","1985Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","136"
"-","State","19854","1985Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","102"
"-","State","19861","1986Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","109"
"-","State","19861","1986Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","95"
"-","State","19862","1986Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","199"
"-","State","19862","1986Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","168"
"-","State","19863","1986Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","356"
"-","State","19863","1986Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","264"
"-","State","19864","1986Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","161"
"-","State","19864","1986Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","123"
"-","State","19871","1987Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","126"
"-","State","19871","1987Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","81"
"-","State","19872","1987Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","223"
"-","State","19872","1987Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","180"
"-","State","19873","1987Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","395"
"-","State","19873","1987Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","282"
"-","State","19874","1987Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","183"
"-","State","19874","1987Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","164"
"-","State","19881","1988Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","145"
"-","State","19881","1988Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","116"
"-","State","19882","1988Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","248"
"-","State","19882","1988Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","176"
"-","State","19883","1988Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","448"
"-","State","19883","1988Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","345"
"-","State","19884","1988Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","226"
"-","State","19884","1988Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","165"
"-","State","19891","1989Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","176"
"-","State","19891","1989Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","130"
"-","State","19892","1989Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","298"
"-","State","19892","1989Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","217"
"-","State","19893","1989Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","536"
"-","State","19893","1989Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","373"
"-","State","19894","1989Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","248"
"-","State","19894","1989Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","166"
"-","State","19901","1990Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","189"
"-","State","19901","1990Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","142"
"-","State","19902","1990Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","361"
"-","State","19902","1990Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","245"
"-","State","19903","1990Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","629"
"-","State","19903","1990Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","352"
"-","State","19904","1990Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","268"
"-","State","19904","1990Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","151"
"-","State","19911","1991Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","201"
"-","State","19911","1991Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","147"
"-","State","19912","1991Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","394"
"-","State","19912","1991Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","218"
