"STATISTIC","Statistic Label","C02173V04143","Detailed Area of Residence","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20101","2010Q1","Thousand","1084.8"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20102","2010Q2","Thousand","1541.4"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20103","2010Q3","Thousand","1996.6"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20104","2010Q4","Thousand","1414.3"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20111","2011Q1","Thousand","1178.8"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20112","2011Q2","Thousand","1805"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20113","2011Q3","Thousand","2151.7"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20114","2011Q4","Thousand","1369.7"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20121","2012Q1","Thousand","1165.1"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20122","2012Q2","Thousand","1817.3"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20123","2012Q3","Thousand","2096.7"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20124","2012Q4","Thousand","1438"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20131","2013Q1","Thousand","1251.7"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20132","2013Q2","Thousand","1893"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20133","2013Q3","Thousand","2261"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20134","2013Q4","Thousand","1580.1"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20141","2014Q1","Thousand","1342.5"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20142","2014Q2","Thousand","2126.6"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20143","2014Q3","Thousand","2440.4"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20144","2014Q4","Thousand","1694.9"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20151","2015Q1","Thousand","1531.3"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20152","2015Q2","Thousand","2344.9"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20153","2015Q3","Thousand","2770.9"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20154","2015Q4","Thousand","1995.9"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20161","2016Q1","Thousand","1784.7"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20162","2016Q2","Thousand","2598.9"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20163","2016Q3","Thousand","3061.5"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20164","2016Q4","Thousand","2139.2"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20171","2017Q1","Thousand","1796.1"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20172","2017Q2","Thousand","2769.4"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20173","2017Q3","Thousand","3095.6"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20174","2017Q4","Thousand","2270.9"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20181","2018Q1","Thousand","1920.7"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20182","2018Q2","Thousand","2951.9"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20183","2018Q3","Thousand","3330.9"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20184","2018Q4","Thousand","2412.8"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20191","2019Q1","Thousand","2026.7"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20192","2019Q2","Thousand","3021.8"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20193","2019Q3","Thousand","3334.4"
"TMQ12","Overseas Trips to Ireland","-","All trips to Ireland","20194","2019Q4","Thousand","2424.6"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20101","2010Q1","Thousand","58.4"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20102","2010Q2","Thousand","104.9"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20103","2010Q3","Thousand","135.5"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20104","2010Q4","Thousand","78.5"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20111","2011Q1","Thousand","66.3"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20112","2011Q2","Thousand","123.1"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20113","2011Q3","Thousand","143"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20114","2011Q4","Thousand","90.6"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20121","2012Q1","Thousand","65.9"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20122","2012Q2","Thousand","134.1"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20123","2012Q3","Thousand","155.1"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20124","2012Q4","Thousand","93.1"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20131","2013Q1","Thousand","72.8"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20132","2013Q2","Thousand","141"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20133","2013Q3","Thousand","165.7"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20134","2013Q4","Thousand","103.4"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20141","2014Q1","Thousand","82.6"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20142","2014Q2","Thousand","170.6"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20143","2014Q3","Thousand","188.8"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20144","2014Q4","Thousand","115.2"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20151","2015Q1","Thousand","86.3"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20152","2015Q2","Thousand","196.1"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20153","2015Q3","Thousand","213.8"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20154","2015Q4","Thousand","133.1"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20161","2016Q1","Thousand","104.2"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20162","2016Q2","Thousand","192.3"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20163","2016Q3","Thousand","223"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20164","2016Q4","Thousand","132.7"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20171","2017Q1","Thousand","99.4"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20172","2017Q2","Thousand","209.7"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20173","2017Q3","Thousand","224.8"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20174","2017Q4","Thousand","147.5"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20181","2018Q1","Thousand","129.8"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20182","2018Q2","Thousand","244.8"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20183","2018Q3","Thousand","270.9"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20184","2018Q4","Thousand","172.4"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20191","2019Q1","Thousand","132.7"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20192","2019Q2","Thousand","246.1"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20193","2019Q3","Thousand","264"
"TMQ12","Overseas Trips to Ireland","DE","Germany","20194","2019Q4","Thousand","169.6"
"TMQ12","Overseas Trips to Ireland","ES","Spain","20101","2010Q1","Thousand","35.6"
